zero,pos 15,zero,neg 15,zero
0,0,0,-4.68E-05,0
0,0,0,3.2732704787137713e-6,0
0.0727,0.0727,0.0727,0.07299999,0.0727
0.04,0.038637033,0.04,0.038637033,0.04
0,0.010352762,0,-0.010352762,0
0,0,0,0.00012501,0
0,-0.0103528,0,0.010352761810617735,0
0.04,0.038637033,0.04,0.038637033,0.04
0,0,0,0.00012501,0
-0.04,-0.038637,-0.04,-0.038637033,-0.04
0,-0.0103528,0,0.010352761805642464,0
0,0,0,0.000125004,0
0,0.010352762,0,-0.009604477,0
-0.04,-0.038637,-0.04,-0.038689405,-0.04
0,0,0,0.00272488,0
